# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.14,	0.11,	8.13098,	0.0365211,	-0.225838,	0.225838,	3.60082e-07
0.05,	0.15,	0.11,	8.51961,	0.0382783,	-0.225914,	0.225914,	4.9575e-08
0.05,	0.16,	0.11,	8.2368,	0.0369994,	-0.225859,	0.225859,	4.13192e-07
0.05,	0.17,	0.11,	5.94602,	0.033562,	-0.00439685,	0.238688,	0.196728
0.05,	0.18,	0.11,	2.07375,	0.0138482,	-0.139744,	0.166834,	2.01778e-07
0.05,	0.19,	0.11,	5.77663,	0.0454684,	-0.00834076,	0.128613,	0.137067
0.05,	0.2,	0.11,	2.00028,	0.0152922,	-0.008517,	0.14399,	0.0501804
0.05,	0.21,	0.11,	8.18025,	0.0445696,	-0.274561,	0.122022,	4.93739e-07
0.05,	0.22,	0.11,	7.99916,	0.0486938,	-0.226193,	0.12784,	4.39026e-07
0.05,	0.23,	0.11,	15.9179,	0.0971399,	-0.230547,	0.230547,	3.2472e-08
0.05,	0.24,	0.11,	8,	0.05,	-0.24,	0.11,	0.39461
0.05,	0.25,	0.11,	9.15905,	0.0550674,	-0.226812,	0.226812,	5.77937e-08
0.05,	0.26,	0.11,	8.11423,	0.0579366,	-0.256438,	0.00393165,	0.116544
